Geography,Population Estimate (as of July 1) - 2018
"Demarest borough, New Jersey",4933
"Perry city, Oklahoma",4928
"Madisonville city, Tennessee",4927
"Winona Lake town, Indiana",4926
"Prospect city, Kentucky",4925
"Kingfisher city, Oklahoma",4924
"Northvale borough, New Jersey",4923
"Camilla city, Georgia",4919
"Adairsville city, Georgia",4918
"Sheridan city, Arkansas",4918
"Long View town, North Carolina",4917
"Waterloo village, New York",4914
"Wellington village, Ohio",4914
"Ellisville city, Mississippi",4914
"Crossett city, Arkansas",4913
"Sergeant Bluff city, Iowa",4913
"Becker city, Minnesota",4912
"Westlake city, Louisiana",4911
"Summit village, Wisconsin",4910
"Mendham borough, New Jersey",4910
"Oak Park Heights city, Minnesota",4910
"Vandergrift borough, Pennsylvania",4908
"Davison city, Michigan",4908
"Pleasant Garden town, North Carolina",4907
"Jonesboro city, Georgia",4903
"Salem city, Missouri",4902
"Cicero town, Indiana",4902
"Cherokee city, Iowa",4900
"Eagar town, Arizona",4899
"Dellwood city, Missouri",4898
"Windsor Heights city, Iowa",4898
"Wauchula city, Florida",4895
"Mount Pleasant city, Tennessee",4893
"Mayville city, Wisconsin",4891
"Hunters Creek Village city, Texas",4891
"Shenandoah city, Iowa",4890
"Hudson city, Texas",4890
"Chisholm city, Minnesota",4886
"Flora city, Illinois",4883
"Normandy city, Missouri",4883
"Bluefield town, Virginia",4882
"Telford borough, Pennsylvania",4882
"Tucumcari city, New Mexico",4881
"Childersburg city, Alabama",4880
"Lake Barrington village, Illinois",4879
"Denver City town, Texas",4878
"Cochran city, Georgia",4874
"Benson city, Arizona",4873
"Marseilles city, Illinois",4873
"Midway town, North Carolina",4873
"Waynesboro city, Mississippi",4872
"Carmi city, Illinois",4871
"Sonora city, California",4870
"Flower Hill village, New York",4869
"Desloge city, Missouri",4866
"Forest Hills city, Tennessee",4866
"Devine city, Texas",4865
"Duryea borough, Pennsylvania",4862
"Arnold city, Pennsylvania",4861
"Chittenango village, New York",4861
"Watseka city, Illinois",4860
"Island Park village, New York",4860
"Manheim borough, Pennsylvania",4859
"Luray town, Virginia",4858
"Colorado City town, Arizona",4857
"Green Tree borough, Pennsylvania",4854
"Penitas city, Texas",4854
"Clarks Summit borough, Pennsylvania",4853
"Manchester town, Maryland",4853
"New Haven village, Michigan",4853
"Stone Park village, Illinois",4844
"Springhill city, Louisiana",4842
"Hummelstown borough, Pennsylvania",4840
"Philomath city, Oregon",4839
"Crystal Springs city, Mississippi",4838
"Olympia Fields village, Illinois",4833
"Falfurrias city, Texas",4833
"Colville city, Washington",4831
"Harlan city, Iowa",4827
"Porter town, Indiana",4825
"Silverthorne town, Colorado",4821
"Berlin town, Maryland",4818
"Carthage city, Mississippi",4816
"Nashville city, Georgia",4816
"Dundee town, Florida",4816
"Hamilton city, Montana",4809
"Centreville town, Maryland",4809
"Polk City city, Iowa",4809
"Omak city, Washington",4806
"Parker city, Texas",4802
"Ahoskie town, North Carolina",4801
"Kanab city, Utah",4798
"Whitehouse village, Ohio",4796
"West Milton village, Ohio",4795
"Smithville city, Tennessee",4793
"Shenandoah borough, Pennsylvania",4789
"Penns Grove borough, New Jersey",4784
"Mathis city, Texas",4783
"Whiting city, Indiana",4782
"Jackson city, California",4781
"Palos Park village, Illinois",4778
"Seat Pleasant city, Maryland",4776
"Brent city, Alabama",4772
"Royersford borough, Pennsylvania",4770
"Highlands borough, New Jersey",4769
"Edgefield town, South Carolina",4769
"Mineola city, Texas",4769
"Wolverine Lake village, Michigan",4768
"Wilmer city, Texas",4766
"Harrington Park borough, New Jersey",4762
"Wamego city, Kansas",4762
"Evansdale city, Iowa",4757
"DeWitt city, Michigan",4756
"West Pittston borough, Pennsylvania",4751
"Westmont borough, Pennsylvania",4750
"Silverton village, Ohio",4750
"Dallas town, North Carolina",4750
"Rocky Mount town, Virginia",4748
"Old Westbury village, New York",4748
"Salem city, New Jersey",4747
"Jackson city, Alabama",4742
"Franklin borough, New Jersey",4738
"Mead town, Colorado",4737
"Madisonville city, Texas",4735
"Dexter city, Michigan",4735
"Hickory Creek town, Texas",4735
"Gladstone city, Michigan",4728
"Dodgeville city, Wisconsin",4727
"Mansfield city, Louisiana",4726
"Bloomfield village, Wisconsin",4725
"Goddard city, Kansas",4724
"Nowthen city, Minnesota",4723
"Rio Bravo city, Texas",4721
"McLoud city, Oklahoma",4721
"Clinton city, Indiana",4717
"Fountain Hill borough, Pennsylvania",4715
"Palmetto city, Georgia",4715
"Princeton city, Minnesota",4714
"Headland city, Alabama",4714
"Crystal City city, Missouri",4713
"Cheboygan city, Michigan",4712
"Edwardsville borough, Pennsylvania",4711
"Winchester city, Indiana",4706
"Elko New Market city, Minnesota",4702
"Hyde Park city, Utah",4700
"St. Clair city, Missouri",4698
"Pittsburg city, Texas",4698
"North Braddock borough, Pennsylvania",4696
"New Freedom borough, Pennsylvania",4696
"Ashland City town, Tennessee",4695
"Mountain Grove city, Missouri",4694
"Baxley city, Georgia",4694
"Brisbane city, California",4693
"Brielle borough, New Jersey",4691
"Baldwin City city, Kansas",4691
"Soldotna city, Alaska",4689
"Middletown town, Maryland",4688
"Sherman village, Illinois",4684
"Tulia city, Texas",4682
"Auburn city, Illinois",4681
"Lexington village, Ohio",4680
"New Boston city, Texas",4678
"Farmville town, North Carolina",4677
"Little Falls city, New York",4675
"Aledo city, Texas",4674
"Folkston city, Georgia",4672
"Edenton town, North Carolina",4668
"Dripping Springs city, Texas",4667
"New Lexington village, Ohio",4662
"Maize city, Kansas",4662
"Jim Thorpe borough, Pennsylvania",4659
"Vilonia city, Arkansas",4650
"Mount Olive town, North Carolina",4648
"Lemoyne borough, Pennsylvania",4647
"Neptune City borough, New Jersey",4645
"Farrell city, Pennsylvania",4640
"Cherokee Village city, Arkansas",4640
"Haskell city, Arkansas",4640
"Eldon city, Missouri",4639
"Granite Falls town, North Carolina",4636
"Columbia city, Kentucky",4636
"La Grange city, Texas",4632
"Fox River Grove village, Illinois",4630
"Rock Hill city, Missouri",4624
"Blakely city, Georgia",4623
"Danville borough, Pennsylvania",4623
"Pleasant View city, Tennessee",4621
"Lindstrom city, Minnesota",4620
"Meadows Place city, Texas",4617
"Sandy Oaks city, Texas",4615
"Higginsville city, Missouri",4609
"Mattawa city, Washington",4608
"Winnsboro city, Louisiana",4607
"Breckenridge Hills city, Missouri",4607
"Montebello village, New York",4604
"Newport town, North Carolina",4603
"Phoenix city, Oregon",4602
"South Lebanon village, Ohio",4600
"Portola Valley town, California",4598
"Mount Ephraim borough, New Jersey",4597
"Donora borough, Pennsylvania",4596
"Wiggins city, Mississippi",4595
"Wayzata city, Minnesota",4592
"Morgan's Point Resort city, Texas",4590
"Piedmont city, Alabama",4589
"Humboldt city, Iowa",4589
"Flemington borough, New Jersey",4589
"Columbiana city, Alabama",4588
"Hollister city, Missouri",4586
"West York borough, Pennsylvania",4584
"Parker city, Florida",4584
"Tallassee city, Alabama",4581
"Luverne city, Minnesota",4580
"Bridgeport borough, Pennsylvania",4579
"Palacios city, Texas",4578
"Edinburgh town, Indiana",4577
"Creedmoor city, North Carolina",4576
"Dardanelle city, Arkansas",4575
"Buffalo city, Wyoming",4573
"South Bound Brook borough, New Jersey",4572
"Osage Beach city, Missouri",4570
"Rio Communities city, New Mexico",4564
"Boiling Springs town, North Carolina",4559
"Avalon borough, Pennsylvania",4558
"Spring Lake Heights borough, New Jersey",4555
"Greenfield village, Ohio",4555
"Coopertown town, Tennessee",4554
"New Roads city, Louisiana",4553
"Oak Hill city, Tennessee",4553
"Hancock city, Michigan",4549
"Social Circle city, Georgia",4549
"Negaunee city, Michigan",4547
"Coldwater village, Ohio",4547
"Canastota village, New York",4542
"Shelbyville city, Illinois",4542
"Point Pleasant Beach borough, New Jersey",4542
"Daytona Beach Shores city, Florida",4541
"Lexington city, Missouri",4537
"Jonesboro town, Louisiana",4533
"Aurora city, Nebraska",4533
"North Kansas City city, Missouri",4529
"Ardsley village, New York",4524
"Capitol Heights town, Maryland",4524
"Verdigris town, Oklahoma",4524
"Montgomery village, New York",4522
"Oconto city, Wisconsin",4517
"Wahoo city, Nebraska",4514
"Cornelia city, Georgia",4513
"Newton Falls village, Ohio",4510
"Mount Vernon city, Missouri",4510
"West Peoria city, Illinois",4508
"Louisburg city, Kansas",4508
"Ogallala city, Nebraska",4503
"Hearne city, Texas",4502
"Scott City city, Missouri",4501
"Ludlow city, Kentucky",4500
"East Petersburg borough, Pennsylvania",4499
"Littlestown borough, Pennsylvania",4499
"Unalaska city, Alaska",4497
"Edwardsville city, Kansas",4494
"Breese city, Illinois",4493
"Denton town, Maryland",4493
"Jamestown town, North Carolina",4490
"Utqiagvik city, Alaska",4488
"Scottsville city, Kentucky",4488
"Gibraltar city, Michigan",4487
"Watertown city, Minnesota",4486
"Whiteville town, Tennessee",4485
"Bremen town, Indiana",4484
"Sullivan city, Illinois",4483
"Kaplan city, Louisiana",4480
"Rockford city, Minnesota",4480
"Winfield city, Alabama",4477
"West Hazleton borough, Pennsylvania",4477
"Black Diamond city, Washington",4477
"Smithville city, Texas",4472
"Berwick town, Louisiana",4471
"Castle Hills city, Texas",4471
"Ottawa Hills village, Ohio",4470
"Sauk Centre city, Minnesota",4470
"Benton city, Kentucky",4469
"Surfside Beach town, South Carolina",4468
"East Palestine village, Ohio",4466
"Amite City town, Louisiana",4465
"Russell city, Kansas",4463
"Sayre city, Oklahoma",4463
"Jourdanton city, Texas",4461
"Beecher village, Illinois",4460
"Florence city, Mississippi",4460
"Manlius village, New York",4457
"Mount Vernon city, Iowa",4454
"Temple city, Georgia",4450
"Hartwell city, Georgia",4446
"Millsboro town, Delaware",4446
"St. James city, Minnesota",4444
"Church Point town, Louisiana",4443
"Ste. Genevieve city, Missouri",4442
"Valdese town, North Carolina",4438
"Dilworth city, Minnesota",4436
"Pinetop-Lakeside town, Arizona",4433
"Jessup borough, Pennsylvania",4432
"Crestline village, Ohio",4432
"Saukville village, Wisconsin",4430
"Jenkintown borough, Pennsylvania",4430
"Marlow city, Oklahoma",4427
"Montoursville borough, Pennsylvania",4427
"Plain City village, Ohio",4426
"Nashville city, Arkansas",4425
"Shelley city, Idaho",4424
"California city, Missouri",4423
"Cramerton town, North Carolina",4422
"Perryville town, Maryland",4421
"Dundee village, Michigan",4421
"Dansville village, New York",4420
"Windom city, Minnesota",4420
"Wingate town, North Carolina",4420
"Algood city, Tennessee",4419
"Whiteland town, Indiana",4418
"Prairie du Sac village, Wisconsin",4417
"West Jefferson village, Ohio",4411
"Grayson city, Georgia",4409
"Dilley city, Texas",4408
"Buhl city, Idaho",4407
"Ashdown city, Arkansas",4406
"Viroqua city, Wisconsin",4406
"Pilot Point city, Texas",4404
"Larksville borough, Pennsylvania",4403
"Hurstbourne city, Kentucky",4403
"Belton city, South Carolina",4402
"Selmer town, Tennessee",4400
"Wellsville village, New York",4399
"La Verkin city, Utah",4398
"Caldwell city, Texas",4397
"Laurel town, Delaware",4394
"Clarkdale town, Arizona",4393
"Tarentum borough, Pennsylvania",4391
"Beaufort town, North Carolina",4391
"Reminderville village, Ohio",4390
"Goodland city, Kansas",4386
"Lawrenceville city, Illinois",4383
"Alvarado city, Texas",4382
"Hamburg borough, Pennsylvania",4381
"Coleman city, Texas",4379
"Carolina Shores town, North Carolina",4378
"Coopersville city, Michigan",4377
"Ligonier city, Indiana",4374
"Greendale city, Indiana",4373
"Mauston city, Wisconsin",4370
"Mary Esther city, Florida",4370
"Jacksboro city, Texas",4368
"Barnwell city, South Carolina",4367
"American Falls city, Idaho",4367
"Walhalla city, South Carolina",4367
"Cobleskill village, New York",4365
"South Hill town, Virginia",4365
"Garwood borough, New Jersey",4365
"Winnfield city, Louisiana",4362
"Sparta village, Michigan",4362
"Cortland town, Illinois",4361
"St. Bernard village, Ohio",4360
"Bayside village, Wisconsin",4354
"Camanche city, Iowa",4353
"Cornwall borough, Pennsylvania",4353
"Tuscola city, Illinois",4352
"Elberton city, Georgia",4348
"Narberth borough, Pennsylvania",4348
"Buena borough, New Jersey",4347
"Del Mar city, California",4347
"Senoia city, Georgia",4347
"Euharlee city, Georgia",4345
"Berryville town, Virginia",4342
"Isle of Palms city, South Carolina",4340
"La Joya city, Texas",4339
"Harrogate city, Tennessee",4337
"Glassport borough, Pennsylvania",4336
"Geneva city, Alabama",4335
"Clintonville city, Wisconsin",4334
"South Haven city, Michigan",4334
"Ottawa village, Ohio",4333
"Spring Valley Village city, Texas",4333
"Canton town, North Carolina",4332
"Mullins city, South Carolina",4329
"Slaughterville town, Oklahoma",4328
"Fayette city, Alabama",4327
"Madeira Beach city, Florida",4327
"Sparta city, Illinois",4326
"Adamsville city, Alabama",4325
"East Troy village, Wisconsin",4325
"Woodruff city, South Carolina",4325
"Hallsville city, Texas",4321
"Archbold village, Ohio",4320
"Medford city, Wisconsin",4318
"Chatsworth city, Georgia",4318
"Atlantic Highlands borough, New Jersey",4316
"Lafayette city, Oregon",4309
"Tiptonville town, Tennessee",4307
"Slatington borough, Pennsylvania",4307
"Lamar city, Missouri",4306
"Argo town, Alabama",4306
"Groesbeck city, Texas",4305
"Rockmart city, Georgia",4305
"Sellersville borough, Pennsylvania",4300
"Beaver borough, Pennsylvania",4299
"Ashville village, Ohio",4298
"Rogersville town, Tennessee",4297
"Pendleton town, Indiana",4296
"Holmes Beach city, Florida",4295
"Summerville city, Georgia",4294
"Buchanan city, Michigan",4294
"Pittsboro town, North Carolina",4287
"Shallotte town, North Carolina",4287
"Indian Rocks Beach city, Florida",4286
"Carlisle city, Iowa",4282
"Georgetown village, Ohio",4280
"Springville village, New York",4279
"Honesdale borough, Pennsylvania",4277
"Prescott city, Wisconsin",4276
"Mountain Lakes borough, New Jersey",4276
"Magnolia borough, New Jersey",4275
"Lebanon city, Illinois",4274
"Lyons city, Georgia",4272
"Waverly village, Ohio",4270
"Sheffield village, Ohio",4268
"Osawatomie city, Kansas",4266
"Bellville city, Texas",4266
"Pittsfield city, Illinois",4265
"Brookfield city, Missouri",4265
"West Wendover city, Nevada",4265
"Springville city, Alabama",4265
"Cross Plains village, Wisconsin",4264
"Mitchell city, Indiana",4263
"Lonoke city, Arkansas",4262
"Taylor town, Arizona",4262
"Dillon city, Montana",4261
"Morgan city, Utah",4260
"Deer Park village, Illinois",4259
"Freeburg village, Illinois",4257
"Van Alstyne city, Texas",4256
"Newport city, Vermont",4255
"Grant-Valkaria town, Florida",4254
"Greenville city, Kentucky",4252
"Hokes Bluff city, Alabama",4252
"Indian River Shores town, Florida",4252
"San Diego city, Texas",4251
"Wayland city, Michigan",4250
"Blanchester village, Ohio",4249
"Medina city, Tennessee",4246
"Deer Park city, Washington",4245
"Centralia city, Missouri",4244
"Hampton city, Iowa",4236
"Mount Pleasant borough, Pennsylvania",4236
"Paxton city, Illinois",4229
"Spindale town, North Carolina",4227
"North Wilkesboro town, North Carolina",4225
"Dyersville city, Iowa",4225
"West Reading borough, Pennsylvania",4223
"Sebring village, Ohio",4222
"Hometown city, Illinois",4222
"Chelan city, Washington",4222
"Kewaskum village, Wisconsin",4221
"Westover city, West Virginia",4217
"Belleair town, Florida",4217
"Williamston town, South Carolina",4216
"Park Rapids city, Minnesota",4214
"China Grove town, North Carolina",4213
"Magee city, Mississippi",4210
"Barrington Hills village, Illinois",4207
"Cockrell Hill city, Texas",4204
"Argyle city, Texas",4204
"Chalfont borough, Pennsylvania",4202
"Bristow city, Oklahoma",4199
"Tazewell town, Virginia",4194
"Rigby city, Idaho",4193
"Mulberry city, Florida",4192
"Riverdale borough, New Jersey",4190
"Barboursville village, West Virginia",4185
"Minersville borough, Pennsylvania",4177
"Dimmitt city, Texas",4176
"Cold Spring city, Minnesota",4175
"Bradley Beach borough, New Jersey",4174
"Le Roy village, New York",4172
"Chariton city, Iowa",4172
"Jersey Shore borough, Pennsylvania",4171
"Comanche city, Texas",4170
"Port Aransas city, Texas",4167
"Oakwood city, Georgia",4166
"Basalt town, Colorado",4166
"Aumsville city, Oregon",4165
"Westville borough, New Jersey",4163
"Grafton city, North Dakota",4159
"Hazlehurst city, Georgia",4159
"Berne city, Indiana",4159
"Scandia city, Minnesota",4159
"Madison city, Georgia",4155
"Waverly village, New York",4152
"Falls City city, Nebraska",4152
"Grant city, Minnesota",4152
"Aldan borough, Pennsylvania",4150
"Lowell city, Michigan",4150
"Jefferson city, Iowa",4148
"Winona city, Mississippi",4146
"Dumas city, Arkansas",4146
"Ovilla city, Texas",4146
"Rice Lake city, Minnesota",4145
